shop,departement,CA_P1,CA_P2,MARGE_P1,MARGE_P2,STOCK_fin_P1,STOCK_fin_P2,,PROG_CA_ttc,POURC_marge_P1,POURC_marge_P2,PROG_POURC_Marge,PROG_euro_Marge_pourc,PROG_Stock_fin,STOCK_Theorique,STOCK_surplus_POURC
CAP MALO,ACCESSOIRES TEXTILE,2640,742,1146,372,21672,11351,,"-71,89","52,08","60,20","15,59","-67,51","-47,62",9648,"17,65"
CAP MALO,BAGAGERIE,1867,942,635,317,16487,10677,,"-49,55","40,81","40,42","-0,96","-50,04","-35,24",12241,"-12,78"
CAP MALO,BEACHWEAR,0,0,0,0,3024,3638,,"0,00",,,"0,00","0,00","20,31",0,
CAP MALO,CYCLE,16522,4628,2999,1264,159142,178396,,"-71,99","21,79","32,78","50,45","-57,85","12,10",60168,"196,50"
CAP MALO,EQUITATION,0,0,0,0,-15,0,,"0,00",,,"0,00","0,00","-100,00",0,
CAP MALO,GLISSE URBAINE,950,271,265,87,3756,3962,,"-71,49","33,47","38,33","14,52","-67,35","5,48",3522,"12,50"
CAP MALO,GO CARE,309,119,102,43,4568,7033,,"-61,60","39,43","42,96","8,96","-58,16","53,98",1545,"355,30"
CAP MALO,GO FIT,423,378,129,118,7034,5876,,"-10,61","36,67","37,62","2,60","-8,29","-16,46",4911,"19,65"
CAP MALO,GO KIDS,7412,1587,2203,494,39048,33660,,"-78,59","35,66","37,37","4,80","-77,56","-13,80",20634,"63,13"
CAP MALO,GO MAN,21230,6266,6888,2686,87186,96339,,"-70,49","38,94","51,44","32,11","-61,01","10,50",81456,"18,27"
CAP MALO,GO RUN,13568,1541,2841,600,61934,40727,,"-88,64","25,12","46,70","85,89","-78,88","-34,24",20037,"103,25"
CAP MALO,GO SHOES,16790,3194,4205,1132,109585,121558,,"-80,98","30,05","42,52","41,48","-73,09","10,93",41524,"192,74"
CAP MALO,GO SPORTS DE RAQUETTES,1062,375,262,134,14424,15423,,"-64,70","29,58","42,97","45,28","-48,72","6,92",4871,"216,62"
CAP MALO,GO SWIM,1382,449,424,191,9906,11867,,"-67,54","36,82","51,03","38,60","-55,01","19,79",5832,"103,50"
CAP MALO,GOLF,0,0,0,0,-4,0,,"0,00",,,"0,00","0,00","-100,00",0,
CAP MALO,JEUX,537,254,85,37,3367,2582,,"-52,70","19,06","17,30","-9,22","-57,07","-23,33",3301,"-21,78"
CAP MALO,MISS GO,8978,1728,2751,776,55532,56428,,"-80,76","36,78","53,91","46,58","-71,79","1,61",22460,"151,24"
CAP MALO,Non défini,0,0,0,0,0,0,,"0,00",,,"0,00","0,00","0,00",0,
CAP MALO,OFFRE CLUB & COLLECTIVITES,12,62,8,36,7,7,,"420,00","79,00","70,00","-11,39","360,76","-3,38",811,"-99,12"
CAP MALO,PRODUITS NON COMMERCIALISES,0,-40,0,-33,484,580,,"-400 100,00","0,00","99,99","0,00","0,00","19,89",-520,"-211,47"
CAP MALO,RANDONNEE,14679,2661,4074,882,83419,76226,,"-81,87","33,30","39,77","19,42","-78,35","-8,62",34594,"120,34"
CAP MALO,SAC DE CAISSE,61,38,15,12,1001,973,,"-37,75","30,35","37,13","22,34","-23,84","-2,79",495,"96,42"
CAP MALO,SFA NON UTILISEE,566,50,11,17,6655,5572,,"-91,17","2,23","41,63","1 767,92","64,99","-16,27",650,"757,61"
CAP MALO,SPORTS COLLECTIFS,8898,2994,2235,1124,78855,72398,,"-66,35","30,14","45,04","49,45","-49,71","-8,19",38925,"85,99"
CAP MALO,SPORTS D EAU,0,0,0,0,315,494,,"0,00",,,"0,00","0,00","56,83",0,
CAP MALO,SPORTS D HIVER,7497,1346,2753,513,25325,26903,,"-82,04","44,06","45,72","3,75","-81,37","6,23",17504,"53,69"
CAP MALO,SPORTS OUTDOOR,0,0,0,0,0,0,,"0,00",,,"0,00","0,00","0,00",0,
CAP MALO,TECHNOLOGIE,375,0,40,0,2989,4046,,"-100,00","12,73",,"-100,00","-100,00","35,37",0,
CAP MALO,TOTAUX,125756,29585,34070,10802,795698,786716,,"-76,47","32,51","43,81","34,76","-68,30","-1,13",384610,"104,55"
LAVAL,ACCESSOIRES TEXTILE,1047,1021,570,494,16167,14208,,"-2,42","65,32","58,03","-11,15","-13,30","-12,12",13278,"7,00"
LAVAL,BAGAGERIE,1044,1171,353,343,16011,12373,,"12,17","40,59","35,12","-13,48","-2,95","-22,72",15217,"-18,69"
